X,file,dataset,px_cm,leaf_number,rep_number,plant_number,location,population,old_genotype,genotype,ancestry,base_x,base_y,tip_x,tip_y,rosette_id,PC1,PC2,width,length,area,solidity,asymmetry,circ,ar,rel_node
1826,1.13_phen_rep2_p2_outer_20230801_0001_leaf3.jpg,NY,125,3,2,2,New York,1,1.13,NY_26,northern_eurasian,481,57,33.5,53.5,ef,-0.032167464,-0.007426905,0.9113290326577761,3.6344689109861683,1.4806345152619969,0.6550819998296397,0.020146256,0.19297758158846073,0.2561235697456562,0.3
2529,1.13_phen_rep1_p1_inner_20230801_0001_leaf1.jpg,NY,120.15,8,1,1,New York,1,1.13,NY_26,northern_eurasian,479,66,30.5,51.5,gq,-0.049978827,0.13310401949438436,1.1768499353707063,3.8058509956399424,1.7042570683464646,0.6004702550356246,0.057264508795750096,0.25967662290270227,0.31205341098647355,0.8
2530,1.13_phen_rep1_p1_inner_20230801_0001_leaf2.jpg,NY,120.15,9,1,1,New York,1,1.13,NY_26,northern_eurasian,486,84,33.5,84.5,gq,0.025375460950948354,0.009004326,1.0475286734651859,3.8214000296441575,1.6512724503799774,0.6659027850272642,0.041941669,0.21199520783506787,0.26638064320772925,0.9
2531,1.13_phen_rep1_p1_inner_20230801_0001_leaf3.jpg,NY,120.15,10,1,1,New York,1,1.13,NY_26,northern_eurasian,481,81,31.5,80.5,gq,0.074711602,0.087894559,1.1214523273017403,3.7676150861622935,2.884321730936051,0.8803013914259178,0.021661768,0.4320452186995056,0.2950829106085239,1
2532,1.13_phen_rep1_p1_middle_20230801_0001_leaf1.jpg,NY,120.15,5,1,1,New York,1,1.13,NY_26,northern_eurasian,481,80,30.5,86.5,gq,-0.067564205,-0.074056453,0.8234377784873892,3.7777605074450813,1.209891016159446,0.6372644233196642,0.025250812025859132,0.17008469458931233,0.2173550638374818,0.5
2533,1.13_phen_rep1_p1_middle_20230801_0001_leaf2.jpg,NY,120.15,6,1,1,New York,1,1.13,NY_26,northern_eurasian,483,61,32.5,92.5,gq,0.089842558,-1.75E-04,1.3742444138622607,3.8495117148795015,2.497500933763945,0.719358754,0.042921088,0.3427809078383589,0.36054522072017353,0.6
2534,1.13_phen_rep1_p1_middle_20230801_0001_leaf3.jpg,NY,120.15,7,1,1,New York,1,1.13,NY_26,northern_eurasian,482,85,33.5,129.5,gq,0.031642671,-0.074292185,1.1112140502418615,3.8157550808492307,1.963080310033689,0.6596407133407433,0.043802464895179916,0.22967241659138493,0.2931159966390483,0.7
2535,1.13_phen_rep1_p1_outer_20230801_0001_leaf1.jpg,NY,114.16,1,1,1,New York,1,1.13,NY_26,northern_eurasian,481,85,35.5,87.5,gq,-0.010118764,-0.013086577,1.0722324180075442,4.041861812541197,1.893666935861404,0.686599016,0.025279599,0.1964260604626403,0.2534090777875876,0.1
2536,1.13_phen_rep1_p1_outer_20230801_0001_leaf2.jpg,NY,114.16,2,1,1,New York,1,1.13,NY_26,northern_eurasian,485,51,35.5,52.5,gq,-0.068066109,0.028199536118884923,0.8862069657673878,3.9806290405826803,1.6998032074889267,0.6991291103603215,0.008702058,0.2459642117493568,0.22629450413658425,0.2
2537,1.13_phen_rep1_p1_outer_20230801_0001_leaf3.jpg,NY,114.16,3,1,1,New York,1,1.13,NY_26,northern_eurasian,483,92,31.5,86.5,gq,-0.037742901,-0.039872693,1.0010573123448367,3.990777932856747,1.7470188397505382,0.6887216595284248,0.026123391469587046,0.22058277886198646,0.2584326770918739,0.3
